GeneID,bT2,bT3
Smp_035260,0.65228450669249,0.744784533327376
Smp_035270,1331.15707865523,1162.34911039878
Smp_035280,58.3122278690573,41.0986648619987
Smp_035290,1.47611983864511,4.07769531996739
Smp_035300,63.2527870843274,61.0705996757906
Smp_035310,196.279267137964,196.691580668759
Smp_035360,38.4056562989631,30.6260419599251
Smp_035370,183.019813284398,113.76769942709
Smp_035380,185.083206607235,138.762461480964
Smp_035390,41.8275369902258,54.4267842660433
Smp_035410,174.386118676413,169.645294338205
Smp_035430,120.720218427533,124.921198839165
Smp_035460,19.9884221345252,14.1734019485855
Smp_035470,129.456028760562,130.523919479788
Smp_035480,182.03932923057,177.060988524838
Smp_035500,561.93229322947,461.473056754949
Smp_035540,15.5011493994503,21.3158546936516
Smp_035550,0.14651313534939,0.69704193503716
Smp_035560,115.372095052517,108.21909023268
Smp_035580,94.9976654372222,117.912304298747
Smp_035620,94.343311426448,89.1626494782724
Smp_035700,73.7418661975143,68.0394816044224
Smp_035730,47.4737304730131,53.1873302604442
Smp_035790,1637.41163072184,1650.89496505596
Smp_035800,1402.5653060547,1333.11619655413
Smp_035930,9.7279878462562,9.21132276135884
Smp_036010,21.511575637181,23.3406542070531
Smp_036020,0.747033594145847,0.453707406950474
Smp_036060,71.607826509638,58.1236707159887
Smp_036090,32.1294687401486,42.9090814715522
Smp_036130,283.734502179525,271.115584893889
Smp_036180,12.6922746607115,14.8828775179994
Smp_036220,688.46879649789,511.203754747131
Smp_036250,61.1418552911586,76.6112454054479
Smp_036270,896.209033356788,913.754521162584
Smp_036370,149.10616523622,131.001820911596
Smp_036390,288.197493246341,211.594694124358
Smp_036400,433.476793550954,357.931033641582
Smp_036470,11.8625502058172,12.3002723213211
Smp_036500,54.0026992591644,55.2006644784585
Smp_036550,297.192482201174,210.187349081373
Smp_036570,56.7100358405591,63.7962009736833
Smp_036590,153.265479848101,167.017308869121
Smp_036630,33.9031395198489,31.4565067540341
Smp_036660,159.236077470539,138.821539201831
Smp_036670,0.0514775880957317,0
Smp_036720,0.0627913437211672,0
Smp_036760,4.37815722102883,8.24149582014525
Smp_036780,324.188098934471,145.297189562056
Smp_036920,77.4799096129316,36.6618478308994
Smp_036930,50.7458709506566,54.1612252533083
Smp_036940,378.615422288102,295.682158225654
Smp_036950,58.1853689347913,46.9100721768606
Smp_036980,7.94426778338916,7.66746128540876
Smp_036990,37.4064847529738,34.8349563764063
Smp_037120,271.891750924631,193.78491879382
Smp_037190,241.051587754138,200.091561049562
Smp_037200,82.2602145017321,91.5558005803998
Smp_037210,6.43960113940415,6.49950113830781
Smp_037230,27.591786917413,32.3676982596633
Smp_037290,110.958605216783,91.9009994834634
Smp_037380,52.4650218310225,43.645461812205
Smp_037400,38.306624604223,31.8844667224647
Smp_037460,82.626052029005,80.5586530088397
Smp_037530,153.491999557959,97.2661268983046
Smp_037540,172.186990910989,159.333347031903
Smp_037590,215.42035085023,245.820625703921
Smp_037640,128.538323380983,108.001222743476
Smp_037700,315.413477780167,277.178725467527
Smp_037720,3.39947565943585,0
Smp_037780,61.3814514879228,56.4431503396173
Smp_037860,44.9556815767408,48.6065172606727
Smp_037900,29.1734043045388,24.3704910082247
Smp_037910,149.834099750643,98.255577862395
Smp_037930,114.710753346941,105.200815332492
Smp_037960,47.1550306226022,51.0741636036319
Smp_038030,26.4673999101439,27.0150847254943
Smp_038080,116.733510822679,143.591766517226
Smp_038100,384.31696484042,400.86841314763
Smp_038140,14.3015451829199,14.2601483732964
Smp_038210,121.480975779445,111.252481509246
Smp_038240,41.5066783868404,50.5728437576655
Smp_038300,561.104690885295,456.21739718447
